id,name,date_of_birth,nationality,nationanl_id,insurance_id,CHUYÊN NGÀNH,Ch?c v?,number_year_exp,degree_issue_date,degree_issue_place,degree
19,Nguy?n Th? Thanh Bình ,12/06/1990,Vi?t Nam,721147750,0523975475,K? thu?t ph?n m?m ,GV,7,5/23/2015,France,
20,?àm Sao Mai  ,29/05/1981,Vi?t Nam,782469474,0218866997,Khoa h?c máy tính ,GV,15,1/30/2011,China,
21,L?u Giang Nam ,22/03/1980,Vi?t Nam,403729740,0242850659,Công ngh? th?c ph?m ,GV,2,11/10/2006,China,
22,Nguy?n Trung D?ng,16/10/1982,Vi?t Nam,589126119,0781910586,Toán - Tin h?c ,GV,4,7/23/2009,China,
23,Lê ?ình Tr??ng,14/11/1992,Vi?t Nam,887878342,0316553118,Tri?t h?c? ,GV,2,11/27/2009,Indonesia,
24,H? V?n ??c,29/08/1992,Vi?t Nam,494152749,0975004755,Tri?t h?c? ,GV,6,9/17/2006,Colombia,
25,??ng Th? Minh Ph??ng,23/03/1990,Vi?t Nam,553255019,0281266411,Tri?t h?c? ,GV,5,6/30/2014,Belarus,
26,V? Th? Thu Trang,24/08/1981,Vi?t Nam,561223194,0182758650,L?ch s? ??ng? ,GV,3,10/29/2006,Portugal,
27,Bùi Th? H?o ,26/11/1984,Vi?t Nam,880968054,0273167270,L?ch s? Vi?t Nam? ,GV,8,6/12/2012,China,
28,??ng Công Tráng,12/06/1992,Vi?t Nam,391516975,0433114922,Kinh t? chính tr?? ,GV,14,7/26/2012,Indonesia,
29,Hu?nh Minh Luân,12/07/1992,Vi?t Nam,533307898,0441730907,Lu?t kinh t?? ,GV,3,6/20/2013,Indonesia,
30,Mai Th? Thu,09/06/1980,Vi?t Nam,708118049,0940990710,Lu?t Hi?n pháp và hành chính? ,GV,8,12/29/2007,China,
31,Ngô Ng?c H?ng,10/05/1989,Vi?t Nam,662527040,0520495548,Toán? ,GV,15,5/25/2017,China,
32,Ninh Phú Giang,20/01/1990,Vi?t Nam,735608612,0296955750,Toán? ,GV,15,2/6/2013,Zimbabwe,
33,Nguy?n V?n Bình,08/09/1994,Vi?t Nam,418055895,0829891314,Qu?n tr? Kinh Doanh? ,GV,5,9/14/2006,China,
34,Nguy?n Th? Thu Trang,29/10/1992,Vi?t Nam,100329172,0374018059,Kinh doanh và Qu?n lý? ,GV,13,3/30/2008,Belarus,
35,Nguy?n Th? Ng?c N?,28/04/1993,Vi?t Nam,226175863,0139695874,Qu?n lý giáo d?c? ,GV,14,4/7/2014,Trinidad and Tobago,
36,?? Qu?c Huy ,23/04/1981,Vi?t Nam,601388718,0157307958,V?t lý? ,GV,1,3/12/2017,Argentina,
37,Nguy?n Phúc Thanh Phong ,16/12/1984,Vi?t Nam,901331770,0526305581,V?t lý? ,GV,6,2/11/2010,Russia,
38,Nguy?n Minh Lu?n,01/01/1989,Vi?t Nam,812984123,0339002651,Giáo d?c th? ch?t? ,GV,6,11/18/2007,Croatia,
39,"Nguy?n Quy H?ng,  ",06/12/1990,Vi?t Nam,153053044,0338576117,Qu?n tr? kinh doanh? ,GV,13,1/16/2013,Ireland,
40,Ph?m Ng?c Anh,04/07/1987,Vi?t Nam,101549877,0784488208,V?n h?c Vi?t Nam? ,GV,8,10/2/2015,Pakistan,
41,"Nguy?n Th? Thoang,  ",14/07/1989,Vi?t Nam,731573768,0961170477,"Giáo d?c qu?c phòng, Vô tuy?n ?i?n và TTLiên l?c? ",GV,5,7/23/2011,China,
42,Nguy?n Th? Thanh Thuý,23/06/1985,Vi?t Nam,541926442,0573049879,Ti?ng Anh? ,GV,1,6/7/2016,Croatia,
43,Nguy?n Th? Bích,03/01/1982,Vi?t Nam,351118787,0957562158,Ngôn ng? Anh? ,GV,9,12/8/2005,France,
44,Hoàng Th? Phong Linh,30/11/1994,Vi?t Nam,523771652,0300800274,Ti?ng Anh? ,GV,4,11/18/2012,China,
45,Hu?nh V?n Hi?u,10/08/1981,Vi?t Nam,553133400,0524795049,Gi?ng d?y Ti?ng Anh? ,GV,3,11/2/2005,Czech Republic,
46,Nguy?n ??c Ph??ng,01/11/1988,Vi?t Nam,114650826,0823810436,Toán? ,GV,6,2/3/2017,Yemen,
47,"Nguy?n ?ình Tùng,  ",06/01/1992,Vi?t Nam,772882484,0725017495,Toán? ,GV,2,3/31/2012,Poland,
48,Ph?m Anh L?c,09/05/1987,Vi?t Nam,114713050,0435588075,Toán? ,GV,5,8/19/2005,Ireland,
49,Gi?ng Thanh Tr?n,28/01/1980,Vi?t Nam,977521875,0450940015,Toán? ,GV,3,4/13/2015,Indonesia,
50,Võ Ng?c T?n Ph??c,14/08/1994,Vi?t Nam,625269601,0767984361,Khoa h?c máy tính? ,GV,8,9/26/2016,Haiti,
51,Ngô H?u D?ng,21/01/1994,Vi?t Nam,859670852,0656004387,K? thu?t ph?n m?m? ,GV,11,9/16/2009,China,
52,"Nguy?n Quang Vinh,  ",15/08/1988,Vi?t Nam,511785136,0680493130,Khoa h?c và k? thu?t máy tính? ,GV,12,3/21/2016,Bosnia and Herzegovina,
53,Bùi Th? Thu Th?y,21/04/1982,Vi?t Nam,934163323,0693941750,Qu?n tr? kinh doanh? ,GV,7,2/2/2013,Brazil,
54,Tr?n Nh?t Hoàng Anh? ,18/04/1990,Vi?t Nam,279833574,0933211795,Hóa lý? ,GV,11,7/16/2010,China,
55,Ph?m Thái Hà? ,26/05/1990,Vi?t Nam,525681454,0751606367,Khoa h?c máy tính ,GV,11,11/7/2015,Czech Republic,
56,"Nguy?n Quy H?ng,  ",18/07/1988,Vi?t Nam,589647709,0809980588,V?t lý ,GV,3,3/3/2010,Dominican Republic,
57,"Lê V?n Tán,  ",13/11/1990,Vi?t Nam,812151278,0345300448,V?n h?c Vi?t Nam ,GV,3,10/27/2012,Spain,
58,"Nguy?n Th? Thu Trang,  ",02/06/1992,Vi?t Nam,137565360,0734427572,Hóa phân tích ,GV,11,1/16/2008,China,
59,PGS.TS Lê Thanh Danh,22/01/1984,Vi?t Nam,542080430,0129411473,Qu?n lý giáo d?c ,TBM,15,3/15/2018,Brazil,
60,PGS.TS Nguy?n ??c Nam,30/05/1987,Vi?t Nam,619759524,0994413747,"CTM, KTCK",TK,6,5/29/2008,Zambia,
61,GS.TS Nguy?n Thanh Nam,16/07/1988,Vi?t Nam,350010952,0579754977,"KTCK, C? h?c ch?t l?ng",GV,3,11/12/2011,Indonesia,
62,PGS.TS Tr?n Th? V?n,27/07/1989,Vi?t Nam,347502928,0165497382,"KTCK, C? k? thu?t",GV,7,10/20/2016,Portugal,
63,TS. D??ng ?? Tài,28/11/1994,Vi?t Nam,775111746,0751887223,"Toán Lý ?ng d?ng, C? h?c",GV,5,1/9/2008,China,
64,TS. Võ Qu?c Th?ng,19/07/1982,Vi?t Nam,664905102,0645759058,CK,GV,14,7/21/2016,Brazil,
65,TS. Tr?n Tr?ng Nhân,17/12/1984,Vi?t Nam,158499743,0228404116,CK,GV,2,7/25/2017,Mongolia,
66,TS. ??ng Hoàng Minh,16/07/1988,Vi?t Nam,140439292,0242878529,"T? ??ng & ?i?u khi?n, T? ??ng hóa",GV,5,3/23/2017,Indonesia,
67,TS. Tr?n Minh Hi?n,26/06/1982,Vi?t Nam,791500438,0227812488,V?t lý -Toán,GV,1,11/2/2008,United States,
68,GVC.ThS Nguy?n T.Thúy Nga,05/05/1990,Vi?t Nam,332486105,0706140403,CTM,GV,7,2/7/2009,Indonesia,
69,ThS. Tr?n Quang Th?nh,10/10/1982,Vi?t Nam,693803690,0983148026,"CK, CTM",GV,4,6/11/2015,Indonesia,
70,ThS. Bùi Anh Phi,02/07/1980,Vi?t Nam,673597747,0563219194,"CTM, KTCK",GV,12,9/4/2006,Indonesia,
71,ThS. ?inh V?n B?ng,30/04/1992,Vi?t Nam,825578337,0947947620,"K? thu?t ?i?u khi?n t? ??ng,  CTM",GV,2,12/8/2007,United Kingdom,
72,ThS. ??ng V?n Ánh,28/05/1982,Vi?t Nam,945051750,0868840616,"Thi?t k? máy, KTCK",GV,13,1/8/2009,China,
73,ThS. Châu Ng?c Lê,07/02/1988,Vi?t Nam,570572846,0260905171,"Thi?t k? máy, KTCK",GV,4,4/7/2006,Colombia,
74,ThS. Nguy?n Th? M? H?nh,17/07/1981,Vi?t Nam,812323351,0511220458,"SP V?t lý-Tin, V?t lý",GV,5,1/27/2010,Saudi Arabia,
75,ThS. H? Th? B?ch Ph??ng,23/05/1988,Vi?t Nam,156782054,0713723104,V?t lý,GV,9,11/25/2010,Russia,
76,ThS. Ph?m Thanh Tu?n,11/07/1993,Vi?t Nam,776716691,0862876850,"CK, CTM",GV,9,7/13/2010,China,
77,ThS.Mai Ti?n H?u,28/01/1993,Vi?t Nam,443467877,0667213261,"Thi?t k? máy, C? k? thu?t",GV,9,8/8/2017,South Korea,
78,ThS. Nguy?n V?n Thanh Ti?n,07/07/1992,Vi?t Nam,313711296,0136978594,CTM,GV,6,10/2/2005,Philippines,
79,PGS.TS Lê Thanh Danh,03/08/1992,Vi?t Nam,345315893,0313338426,CK,TBM,10,9/2/2011,Nepal,
80,PGS.TS Nguy?n ??c Nam,15/09/1989,Vi?t Nam,614382801,0512589011,"CTM, KTCK",TK,6,1/13/2014,China,
81,GS.TS Nguy?n Thanh Nam,14/04/1987,Vi?t Nam,984718535,0770659343,"KTCK, C? h?c ch?t l?ng",GV,5,4/12/2014,Russia,
82,PGS.TS Tr?n Th? V?n,10/01/1986,Vi?t Nam,307458723,0864081812,"KTCK, C? k? thu?t",GV,6,12/21/2011,Cuba,
83,TS. D??ng ?? Tài,13/06/1987,Vi?t Nam,370588221,0251136557,"Toán Lý ?ng d?ng, C? h?c",GV,6,5/10/2009,Czech Republic,
84,TS. Võ Qu?c Th?ng,15/07/1991,Vi?t Nam,164359677,0290618602,CK,GV,3,1/21/2006,Somalia,
85,TS. Tr?n Tr?ng Nhân,30/08/1981,Vi?t Nam,799626782,0250967373,CK,GV,5,6/25/2006,China,
86,TS. ??ng Hoàng Minh,28/10/1980,Vi?t Nam,426828219,0635608440,"T? ??ng & ?i?u khi?n, T? ??ng hóa",GV,15,9/20/2015,Serbia,
87,TS. Tr?n Minh Hi?n,11/03/1990,Vi?t Nam,369051468,0714206228,V?t lý -Toán,GV,2,11/22/2012,China,
88,GVC.ThS Nguy?n T.Thúy Nga,20/02/1987,Vi?t Nam,975346943,0884538063,CTM,GV,11,1/9/2014,Portugal,
89,ThS. Tr?n Quang Th?nh,16/08/1982,Vi?t Nam,280031486,0600131944,"CK, CTM",GV,12,9/24/2017,Ethiopia,
90,ThS. Bùi Anh Phi,19/03/1993,Vi?t Nam,563461639,0495946750,"CTM, KTCK",GV,12,12/20/2011,Colombia,
91,ThS. ?inh V?n B?ng,01/02/1991,Vi?t Nam,417408663,0147590764,"K? thu?t ?i?u khi?n t? ??ng,  CTM",GV,1,5/15/2006,Egypt,
92,ThS. ??ng V?n Ánh,06/12/1984,Vi?t Nam,892742973,0496048903,"Thi?t k? máy, KTCK",GV,8,2/27/2010,Russia,
93,ThS. Châu Ng?c Lê,31/12/1984,Vi?t Nam,479647306,0581663924,"Thi?t k? máy, KTCK",GV,11,7/12/2015,Brazil,
94,ThS. Nguy?n Th? M? H?nh,10/11/1986,Vi?t Nam,337802416,0938722029,"SP V?t lý-Tin, V?t lý",GV,10,1/3/2012,Russia,
95,ThS. H? Th? B?ch Ph??ng,22/01/1989,Vi?t Nam,890597584,0954362244,V?t lý,GV,3,11/4/2013,Kyrgyzstan,
96,ThS. Ph?m Thanh Tu?n,26/01/1988,Vi?t Nam,937627660,0837697438,"CK, CTM",GV,10,7/25/2014,Philippines,
97,ThS.Mai Ti?n H?u,04/09/1984,Vi?t Nam,210133699,0302388335,"Thi?t k? máy, C? k? thu?t",GV,11,2/10/2018,China,
98,ThS. Nguy?n V?n Thanh Ti?n,06/01/1984,Vi?t Nam,875190985,0432325864,CTM,GV,1,1/1/2010,Russia,
99,TS. Nguy?n Khoa Tri?u,22/04/1981,Vi?t Nam,379045307,0453643482,"CK, KTCK",TBM,13,11/9/2009,Thailand,
100,PGS.TS. Phan Chí Chính,25/12/1991,Vi?t Nam,575607063,0427627835,CK CTM,GV,1,6/11/2017,Vietnam,
101,TS. L?u Tu?n Anh,09/03/1982,Vi?t Nam,483076009,0812498772,"Máy móc và thi?t b? k? thu?t, C? h?c v?t r?n bi?n d?ng",GV,14,10/6/2012,China,
102,TS. Hu?nh Xuân Khoa,02/01/1991,Vi?t Nam,578658655,0807460980,"Luy?n kim & V?t li?u, Khoa h?c & KT V?t li?u",GV,2,3/29/2017,Costa Rica,
103,ThS. Lê V? H?i,14/09/1980,Vi?t Nam,956019025,0929688166,CTM,GV,9,1/12/2016,China,
104,ThS. Nguy?n Th? Niên,14/12/1994,Vi?t Nam,587530562,0179233027,KTCK,GV,14,7/5/2009,Yemen,
105,ThS. Tôn Th?t Nguyên Thy,13/10/1985,Vi?t Nam,930325354,0360941968,CTM,GV,7,9/3/2016,Poland,
106,ThS. Nguy?n Minh Tu?n,27/08/1987,Vi?t Nam,125944820,0454301646,CK CTM,GV,8,5/25/2008,China,
107,ThS. Tr?n Ng?c Tho?i,26/04/1992,Vi?t Nam,886079580,0506008617,Công ngh? CTM,GV,3,5/18/2007,Malaysia,
108,ThS. Võ Ng?c Y?n Ph??ng,14/11/1987,Vi?t Nam,752555074,0871813673,"KT Công nghi?p, CTM",GV,9,9/25/2015,Indonesia,
109,GVC.ThS. Tr??ng V?n Chính,08/02/1985,Vi?t Nam,596141086,0601383419,"K? s? Công nghi?p, Giáo d?c h?c",GV,8,3/3/2008,China,
110,ThS. Nguy?n V?n Nam,19/01/1991,Vi?t Nam,131675978,0843657421,"C? tin k? thu?t, KTCK",GV,3,6/13/2007,Mozambique,
111,TS. Nguy?n Vi?n Qu?c,21/01/1990,Vi?t Nam,322019573,0241567302,"?i?n-?i?n t?, CK",TBM,11,2/18/2011,Peru,
112,PGS.TS. Nguy?n Qu?c H?ng,09/07/1991,Vi?t Nam,185400066,0392792863,"CK T? ??ng hóa, C? h?c v?t r?n và CTM",GV,13,12/16/2017,Bulgaria,
113,TS. Nguy?n Ph??ng B?c,14/06/1992,Vi?t Nam,211401668,0736430645,"CK hàng không, CK CTM, Ch? t?o v?t r?n",GV,4,1/10/2016,China,
114,TS. Tr?n Ng?c ??ng Khoa,13/08/1980,Vi?t Nam,762855787,0646549373,"K? thu?t CN, KTCK, K? thu?t chính xác",GV,4,6/5/2009,Brazil,
115,TS. Lê Ng?c Trân,08/07/1994,Vi?t Nam,739058356,0918998849,"CK tàu th?y, CK T? ??ng hóa",GV,8,9/21/2016,France,
116,TS. Ngô Ti?n Hoàng,17/02/1992,Vi?t Nam,634424683,0587701878,"CK CTM, K? Thu?t chính xác",GV,14,6/20/2014,Colombia,
117,ThS. Nguy?n Ng?c ?i?p,07/03/1980,Vi?t Nam,887257820,0942324453,"CK, KTCK",GV,6,12/6/2017,Pakistan,
118,ThS. Hu?nh Công H?o,26/06/1989,Vi?t Nam,623287381,0701643787,"KT ?i?n- ?i?n t?, T? ??ng hóa",GV,15,2/27/2006,France,
119,ThS. Hoàng  V?n Vinh,21/03/1991,Vi?t Nam,248072715,0438237651,"T? ??ng hóa, CK T? ??ng hóa",GV,9,7/16/2009,Indonesia,
120,ThS. Lê Duy Tu?n,11/01/1985,Vi?t Nam,349713338,0321337932,KTCK,GV,3,12/21/2011,Nicaragua,
121,ThS. Nguy?n Ng?c Tuy?n,25/04/1980,Vi?t Nam,515235694,0848050502,KTCK,GV,5,8/4/2013,Trinidad and Tobago,
123,TS. Nguy?n Vi?n Qu?c,26/01/1987,Vi?t Nam,601290816,0800194966,"?i?n-?i?n t?, CK",TBM,14,9/2/2016,Canada,
124,PGS.TS. Nguy?n Qu?c H?ng,25/09/1980,Vi?t Nam,412202650,0286568726,"CK T? ??ng hóa, C? h?c v?t r?n và CTM",GV,9,5/6/2017,France,
125,TS. Nguy?n Ph??ng B?c,23/04/1982,Vi?t Nam,697098086,0342892284,"CK hàng không, CK CTM, Ch? t?o v?t r?n",GV,15,11/16/2014,Sweden,
126,TS. Tr?n Ng?c ??ng Khoa,03/12/1980,Vi?t Nam,340465228,0308479477,"K? thu?t CN, KTCK, K? thu?t chính xác",GV,3,5/4/2015,Equatorial Guinea,
127,TS. Lê Ng?c Trân,05/10/1985,Vi?t Nam,111367239,0305930672,"CK tàu th?y, CK T? ??ng hóa",GV,8,11/9/2015,Philippines,
128,TS. Ngô Ti?n Hoàng,17/02/1981,Vi?t Nam,253099924,0972329132,"CK CTM, K? Thu?t chính xác",GV,14,2/12/2017,Indonesia,
129,ThS. Nguy?n Ng?c ?i?p,05/05/1989,Vi?t Nam,445192991,0636385309,"CK, KTCK",GV,10,3/15/2010,Indonesia,
130,ThS. Hu?nh Công H?o,06/07/1989,Vi?t Nam,345725927,0808661207,"KT ?i?n- ?i?n t?, T? ??ng hóa",GV,1,1/17/2006,Indonesia,
131,ThS. Hoàng  V?n Vinh,26/04/1994,Vi?t Nam,711339163,0310772225,"T? ??ng hóa, CK T? ??ng hóa",GV,6,12/20/2005,Uganda,
132,ThS. Lê Duy Tu?n,15/02/1994,Vi?t Nam,331685855,0523420096,KTCK,GV,14,2/2/2012,China,
133,ThS. Nguy?n Ng?c Tuy?n,30/06/1980,Vi?t Nam,747578466,0201325317,KTCK,GV,4,10/27/2006,Indonesia,
135,TS. Ao Hùng Linh,04/09/1987,Vi?t Nam,685606465,0616269030,"CK ??ng l?c, CK",TBM,2,8/5/2007,Costa Rica,
136,TS. ?oàn B?o Qu?c,29/03/1986,Vi?t Nam,487143898,0313327756,CK,GV,15,2/11/2007,Kenya,
137,TS. ???ng Công Truy?n,09/09/1984,Vi?t Nam,422155034,0955572485,CK,PTK,13,4/8/2006,Indonesia,
138,TS. Ph?m Qu?c Hòa,19/03/1985,Vi?t Nam,525723709,0195812656,C? k? thu?t,GV,2,4/30/2014,Indonesia,
139,TS. Lê Thúc ??nh,09/06/1985,Vi?t Nam,556044552,0443911380,"CK, C? h?c v?t r?n",GV,7,5/25/2017,Brazil,
140,ThS. Di?p B?o Trí,07/04/1989,Vi?t Nam,695387764,0696092705,CK CTM,GV,5,1/11/2007,Colombia,
141,ThS. Nguy?n H?u Quân,25/03/1990,Vi?t Nam,753535956,0999820833,"Thi?t k? máy, CN CTM",GV,13,9/7/2009,China,
142,ThS. Hoàng Long V??ng,02/09/1987,Vi?t Nam,893647708,0655235916,"CTM, CN CTM",GV,2,7/30/2014,Czech Republic,
143,ThS. Võ V?n C??ng,11/03/1982,Vi?t Nam,647773941,0283584989,CK CTM,GV,15,2/14/2016,Indonesia,
144,ThS. Tr?nh V?n Ch?n,28/07/1980,Vi?t Nam,809660089,0446835942,"CK CTM, KTCK",GV,5,2/23/2006,Indonesia,
145,ThS. Bùi Qu?c Duy,09/07/1985,Vi?t Nam,591695782,0101608926,CK CTM,GV,11,1/16/2010,Venezuela,
146,ThS. Nguy?n Tr??ng Giang,17/09/1983,Vi?t Nam,303740478,0517948952,"CK- ?i?u khi?n t? ??ng, KTCK",GV,2,5/22/2007,Norway,
147,ThS. Nguy?n Th? Hà,05/12/1981,Vi?t Nam,210424941,0641597778,"CK CTM, KTCK",GV,1,1/22/2013,Philippines,
148,ThS. Nguy?n Ng?c Hoan,12/06/1992,Vi?t Nam,238474287,0172235304,"CK CTM, KTCK",GV,12,2/27/2013,Libya,
149,ThS. Ph?m Th? Thu,14/09/1987,Vi?t Nam,378302416,0743290252,"Kinh t? QTDN, Qu?n lý kinh t?",GV,13,9/8/2012,China,
150,ThS. V? ?ình Phong,16/12/1981,Vi?t Nam,473337568,0946460142,CK CTM,GV,3,1/9/2007,France,
151,CH. Ph?m V?n Minh,30/07/1987,Vi?t Nam,685426915,0868741552,C? gi?i hóa XN và XD,GV,13,3/30/2010,Philippines,
152,ThS. Nguy?n Trung D?ng,12/05/1994,Vi?t Nam,403974897,0634051438,"CK Ch? t?o, CN Hàn KTCK",TX,9,2/12/2010,Brazil,
153,ThS. Phan V?n To?n,15/04/1987,Vi?t Nam,536768305,0939020090,KTCK,GV,1,3/9/2012,Cambodia,
154,ThS. Nguy?n H?u Ph??c,25/09/1987,Vi?t Nam,323464880,0700950987,KTCK,GV,15,5/24/2011,Japan,
155,ThS. Nguy?n Chí Trung,12/07/1991,Vi?t Nam,944210347,0981011100,KTCK,GV,12,6/2/2005,Brazil,
156,ThS. Hoàng Công H?c,11/02/1991,Vi?t Nam,790055024,0489333484,KTCK,GV,7,10/4/2013,Indonesia,
157,ThS.V? Quang Vinh,29/12/1988,Vi?t Nam,464207774,0284821859,KTCK,GV,8,1/17/2017,China,
158,KS. Tr?n Tu?n Ki?t,25/03/1985,Vi?t Nam,359270573,0211012513,Công ngh? CK,GV,8,4/22/2013,Russia,
159,Nguy?n Thành Nga,24/02/1983,Vi?t Nam,787004091,0628937489,CNTT,GV,13,2/24/2013,Russia,
160,Bùi Duy Trí,19/01/1992,Vi?t Nam,666960618,0120645041,Công ngh? PM máy tính,GV,1,6/10/2006,Sweden,
161,ThS. Ngô V?n C??ng,04/02/1980,Vi?t Nam,429070136,0898180737,"Thi?t k? máy, CTM",TX,5,10/22/2012,China,
162,ThS. Tr?n Công Hùng,07/12/1980,Vi?t Nam,715373019,0726640872,CK CTM,GV,11,11/22/2005,Poland,
163,ThS. Nguy?n Thanh ?i?u,27/08/1986,Vi?t Nam,378015432,0343091519,CK CTM,GV,1,1/1/2013,Croatia,
164,ThS. Nguy?n Ti?n D?ng,03/05/1991,Vi?t Nam,861927739,0710796117,"S? ph?m k? thu?t, KTCK",GV,8,4/28/2014,Cameroon,
165,ThS. Nguy?n V?n Biên,03/11/1993,Vi?t Nam,682036745,0424780416,CK,GV,12,5/14/2007,France,
166,ThS. Lâm Thanh Danh,24/03/1982,Vi?t Nam,243173801,0587553619,"KTCK, Công ngh? CTM",GV,7,6/29/2013,China,
167,KS. Nguy?n V?n L?c,15/07/1982,Vi?t Nam,630190118,0614663034,K? thu?t Công nghi?p,GV,2,12/8/2010,Philippines,
168,ThS. Nguy?n Hu?nh Hòa,16/12/1982,Vi?t Nam,883053469,0650902897,"C?-?i?n, Giáo d?c h?c",GV,4,10/25/2011,Philippines,
169,CH. Nguy?n Th? M? Dung,14/12/1986,Vi?t Nam,702772303,0172727269,Ti?ng Anh,Giáo v?,1,6/15/2010,China,
170,CN. Ph?m Th? Nh?,13/09/1993,Vi?t Nam,743600251,0353998428,Lu?t,Giáo v?,14,10/21/2013,Libya,
171,CH. V? V?n B?,24/08/1982,Vi?t Nam,588154892,0582182894,CK,Nhân viên,1,8/13/2013,Czech Republic,
172,Nguy?n Hoàng Vi?t,15/08/1991,Vi?t Nam,243780593,0721011564,CK,Nhân Viên,15,10/15/2017,Peru,
173,Hoàng Kim Ph??c,23/04/1985,Vi?t Nam,923084133,0448851707,KTCK,Nhân viên,2,9/7/2012,Brazil,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
