mssv,student_name,class_name,edu_mail,national_id,address_id
19333751,Đặng Thị Kim Chi,HTTT15B,chi.19333751@student.iuh.edu.vn,287775806,273
19333761,Hồ Khánh Chi,HTTT15C,chi.19333761@student.iuh.edu.vn,396031967,163
19333771,Hồ Khánh Chi,HTTT15B,chi.19333771@student.iuh.edu.vn,266882070,49
19333781,Trần Song Linh Chi,KHDL15B,chi.19333781@student.iuh.edu.vn,739414970,37
19333791,Trần Thị Cẩm Chi,HTTT15B,chi.19333791@student.iuh.edu.vn,311700271,152
19333801,Trịnh Thị Chi,HTTT15A,chi.19333801@student.iuh.edu.vn,656978132,150
19333811,Ông Bảo Anh Chiêu,HTTT15A,chieu.19333811@student.iuh.edu.vn,383151413,130
19333821,Văn Thị Chí,KHDL15A,chi.19333821@student.iuh.edu.vn,889304272,166
19333831,Cao Thị Chung,KHDL15B,chung.19333831@student.iuh.edu.vn,259929006,167
19333841,Hoàng Đức Chung,HTTT15A,chung.19333841@student.iuh.edu.vn,450377657,126
19333851,Nguyễn Quốc Dân,KTPM15A,dan.19333851@student.iuh.edu.vn,918223977,20
19333861,Nguyễn Thị Mỹ Dân,HTTT15A,dan.19333861@student.iuh.edu.vn,490214973,275
19333871,Hồ Thị Diễm,KHDL15B,diem.19333871@student.iuh.edu.vn,910206457,146
19333881,Nguyễn Thị Diễm,HTTT15C,diem.19333881@student.iuh.edu.vn,688421545,53
19333891,Nguyễn Thị Phương Diễm,HTTT15A,diem.19333891@student.iuh.edu.vn,783373634,281
19333901,Trần Thị Diễm,HTTT15B,diem.19333901@student.iuh.edu.vn,263788306,274
19333911,Trần Thị Mỹ Diễm,HTTT15B,diem.19333911@student.iuh.edu.vn,515295892,278
19333921,Đoàn Nhật Dương,HTTT15C,duong.19333921@student.iuh.edu.vn,507003049,132
19333931,Đoàn Nhật Dương,HTTT15B,duong.19333931@student.iuh.edu.vn,695151476,9
19333941,Đoàn Thị Thùy Dương,KTPM15A,duong.19333941@student.iuh.edu.vn,940447535,294
19333951,Nguyễn Thùy Dương,KHMT15A,duong.19333951@student.iuh.edu.vn,943666311,296
19333961,Bùi Phương Dung,HTTT15A,dung.19333961@student.iuh.edu.vn,391239638,150
19333971,Cao Thị Khánh Dung,HTTT15C,dung.19333971@student.iuh.edu.vn,337341852,113
19333981,Hoàng Phương Dung,HTTT15C,dung.19333981@student.iuh.edu.vn,944285234,273
19333991,Lê Thị Thuỳ Dung,KTPM15A,dung.19333991@student.iuh.edu.vn,328156062,171
19334001,Ngô Tuấn Phương Dung,HTTT15C,dung.19334001@student.iuh.edu.vn,824333178,42
19334011,Nguyễn Phạm Ngọc Dung,KHMT15B,dung.19334011@student.iuh.edu.vn,834565429,10
19334021,Nguyễn Thị Dung,HTTT15B,dung.19334021@student.iuh.edu.vn,987315541,94
19334031,Nguyễn Thị Dung,HTTT15B,dung.19334031@student.iuh.edu.vn,347222059,67
19334041,Nguyễn Thị Minh Dung,KHDL15B,dung.19334041@student.iuh.edu.vn,592625052,75
19334051,Nguyễn Thị Thùy Dung,KTPM15A,dung.19334051@student.iuh.edu.vn,890465970,4
19334061,Nguyễn Trần Thùy Dung,HTTT15A,dung.19334061@student.iuh.edu.vn,971901811,60
19334071,Ông Phước Thiên Dung,HTTT15A,dung.19334071@student.iuh.edu.vn,925964599,43
19334081,Phạm Thị Mỹ Dung,KTPM15B,dung.19334081@student.iuh.edu.vn,426145205,37
19334091,Phan Quế Dung,KHDL15B,dung.19334091@student.iuh.edu.vn,472792008,101
19334101,Trần Thị Ngọc Dung,HTTT15B,dung.19334101@student.iuh.edu.vn,597255739,50
19334111,Trương Thị Lan Dung,HTTT15B,dung.19334111@student.iuh.edu.vn,301925569,233
19334121,Văn Thị Hoài Dung,KHMT15A,dung.19334121@student.iuh.edu.vn,603761996,273
19334131,Vũ Thị Kim Dung,HTTT15C,dung.19334131@student.iuh.edu.vn,850849763,285
19334141,Lê Quốc Duy,KHMT15A,duy.19334141@student.iuh.edu.vn,425949668,85
19334151,Nguyễn Long Duy,KHMT15A,duy.19334151@student.iuh.edu.vn,752075763,135
19334161,Nguyễn Tấn Duy,KHDL15B,duy.19334161@student.iuh.edu.vn,791917161,112
19334171,Nguyễn Thị Khánh Duy,HTTT15B,duy.19334171@student.iuh.edu.vn,987461609,256
19334181,Nguyễn Thị Khánh Duy,HTTT15C,duy.19334181@student.iuh.edu.vn,257851309,119
19334191,Lê Thị Mỹ Duyên,KTPM15B,duyen.19334191@student.iuh.edu.vn,998352505,91
19334201,Lương Thị Mỹ Duyên,HTTT15A,duyen.19334201@student.iuh.edu.vn,636383192,211
19334211,Lương Thị Mỹ Duyên,KTPM15B,duyen.19334211@student.iuh.edu.vn,784283594,141
19334221,Lương Thị Mỹ Duyên,HTTT15B,duyen.19334221@student.iuh.edu.vn,939573384,263
19334231,Lương Thị Mỹ Duyên,KHMT15A,duyen.19334231@student.iuh.edu.vn,693311407,2
19334241,Ngô Thị Cẩm Duyên,KHMT15B,duyen.19334241@student.iuh.edu.vn,502299323,116
19334251,Nguyễn Cửu Thị Mỹ Duyên,KHMT15B,duyen.19334251@student.iuh.edu.vn,503119374,156
19334261,Nguyễn Thị Duyên,HTTT15B,duyen.19334261@student.iuh.edu.vn,616141078,99
19334271,Trần Mỹ Duyên,KHMT15A,duyen.19334271@student.iuh.edu.vn,913041867,79
19334281,Lê Thành Đạt,KTPM15B,dat.19334281@student.iuh.edu.vn,428528772,29
19334291,Nguyễn Hoàng Thanh Đà,HTTT15B,da.19334291@student.iuh.edu.vn,662740246,152
19334301,Nguyễn Thị Đào,HTTT15B,dao.19334301@student.iuh.edu.vn,971940772,68
19334311,Huỳnh Bá Đẩu,HTTT15B,dau.19334311@student.iuh.edu.vn,303112149,116
19334321,Lê Hồng Điệp,HTTT15A,diep.19334321@student.iuh.edu.vn,459754741,260
19334331,Phạm Thị Ngọc Điệp,HTTT15B,diep.19334331@student.iuh.edu.vn,641449668,15
19334341,Huỳnh Thị Phương Đông,HTTT15A,dong.19334341@student.iuh.edu.vn,581712402,138
19334351,Lê Thị Thu Đông,HTTT15C,dong.19334351@student.iuh.edu.vn,359303828,264
19334361,Nguyễn Vân Quỳnh Đoan,KHMT15A,doan.19334361@student.iuh.edu.vn,426511509,8
19334371,Trần Thị Hạ Đoan,KTPM15B,doan.19334371@student.iuh.edu.vn,654716460,63
19334381,Trương Minh Đức,KTPM15B,duc.19334381@student.iuh.edu.vn,601365626,263
19334391,Ung Nho Đức,HTTT15A,duc.19334391@student.iuh.edu.vn,524963484,96
19334401,Lê Thị Hồng Gấm,KHMT15A,gam.19334401@student.iuh.edu.vn,955503715,123
19334411,Hồ Thu Giang,KTPM15B,giang.19334411@student.iuh.edu.vn,984460341,226
19334421,Lê Thị Hương Giang,HTTT15A,giang.19334421@student.iuh.edu.vn,761172815,117
19334431,Nguyễn Châu Giang,KTPM15A,giang.19334431@student.iuh.edu.vn,555598667,48
19334441,Trương Thị Giang,KHMT15B,giang.19334441@student.iuh.edu.vn,927309581,156
19334451,Lê Huỳnh Phương Giao,KHDL15A,giao.19334451@student.iuh.edu.vn,924104436,247
19334461,Phan Quỳnh Giao,KHDL15A,giao.19334461@student.iuh.edu.vn,748681092,18
19334471,Phan Quỳnh Giao,HTTT15A,giao.19334471@student.iuh.edu.vn,665409490,80
19334481,Tạ Nguyễn Quỳnh Giao,HTTT15A,giao.19334481@student.iuh.edu.vn,284521607,63
19334491,Tạ Nguyễn Quỳnh Giao,HTTT15A,giao.19334491@student.iuh.edu.vn,920330823,268
19334501,Tạ Nguyễn Quỳnh Giao,KHDL15A,giao.19334501@student.iuh.edu.vn,831541408,189
19334511,Tạ Nguyễn Quỳnh Giao,KTPM15A,giao.19334511@student.iuh.edu.vn,717374196,116
19334521,Nguyễn Thị Hạ,HTTT15A,ha.19334521@student.iuh.edu.vn,839087315,221
19334531,Phạm Nguyễn Nhật Hạ,KHDL15A,ha.19334531@student.iuh.edu.vn,713346889,120
19334541,Phạm Nguyễn Nhật Hạ,HTTT15B,ha.19334541@student.iuh.edu.vn,529947086,125
19334551,Bùi Thị Mỹ Hạnh,KTPM15B,hanh.19334551@student.iuh.edu.vn,527020071,99
19334561,Hồ Hoàng Ngọc Hạnh,KHMT15A,hanh.19334561@student.iuh.edu.vn,426244271,21
19334571,Nguyễn Ngọc Hạnh,KHDL15A,hanh.19334571@student.iuh.edu.vn,984015784,5
19334581,Nguyễn Thị Hạnh,KHMT15A,hanh.19334581@student.iuh.edu.vn,705511942,295
19334591,Nguyễn Thị Hồng Hạnh,HTTT15B,hanh.19334591@student.iuh.edu.vn,437159272,218
19334601,Nguyễn Thị Mỹ Hạnh,KTPM15B,hanh.19334601@student.iuh.edu.vn,420171706,241
19334611,Đào Thị Hằng,HTTT15A,hang.19334611@student.iuh.edu.vn,680428534,274
19334621,Đào Thị Hằng,HTTT15C,hang.19334621@student.iuh.edu.vn,231801089,30
19334631,Hoàng Thúy Hằng,HTTT15A,hang.19334631@student.iuh.edu.vn,974068542,102
19334641,Hoàng Thúy Hằng,KHDL15B,hang.19334641@student.iuh.edu.vn,448723866,33
19334651,Lê Thị Thúy Hằng,KTPM15B,hang.19334651@student.iuh.edu.vn,452238115,214
19334661,Lê Thuý Hằng,HTTT15B,hang.19334661@student.iuh.edu.vn,946493203,202
19334671,Nguyễn Thị Thu Hằng,HTTT15A,hang.19334671@student.iuh.edu.vn,862577490,243
19334681,Lê Thị Hà,HTTT15C,ha.19334681@student.iuh.edu.vn,474723983,8
19334691,Nguyễn Thị Bảo Hà,HTTT15B,ha.19334691@student.iuh.edu.vn,688827303,6
19334701,Nguyễn Thị Ngân Hà,KTPM15B,ha.19334701@student.iuh.edu.vn,769198964,161
19334711,Nguyễn Thị Ngân Hà,KHDL15A,ha.19334711@student.iuh.edu.vn,935303433,260
19334721,Nguyễn Thị Ngọc Hà,HTTT15A,ha.19334721@student.iuh.edu.vn,705126340,36
19334731,Phạm Ngọc Hà,HTTT15A,ha.19334731@student.iuh.edu.vn,741689770,135
19334741,Trần Diệu Hà,HTTT15C,ha.19334741@student.iuh.edu.vn,329820431,163
19334751,Xa Doãn Hồng Hà,KTPM15B,ha.19334751@student.iuh.edu.vn,770343543,152
19334761,Nguyễn Thị Hậu,KHDL15A,hau.19334761@student.iuh.edu.vn,395417613,81
19334771,Bùi Thị Minh Hiền,KHDL15A,hien.19334771@student.iuh.edu.vn,368744543,207
19334781,Nguyễn Thị Hiền,HTTT15A,hien.19334781@student.iuh.edu.vn,254865668,124
19334791,Phan Thị Hiền,KTPM15A,hien.19334791@student.iuh.edu.vn,524360912,152
19334801,Trần Thị Thu Hiền,KTPM15A,hien.19334801@student.iuh.edu.vn,301431778,262
19334811,Trương Thị Sĩ Hiền,KHMT15B,hien.19334811@student.iuh.edu.vn,331016498,259
19334821,Trần Bình Hiển,KHMT15A,hien.19334821@student.iuh.edu.vn,298812212,266
19334831,Nguyễn Đạt Trọng Hiếu,KTPM15B,hieu.19334831@student.iuh.edu.vn,978049051,69
19334841,Trần Thị Hiếu,HTTT15A,hieu.19334841@student.iuh.edu.vn,643587480,285
19334851,Đỗ Thị Thu Hồng,HTTT15B,hong.19334851@student.iuh.edu.vn,258171583,269
19334861,Đỗ Thị Thu Hồng,KHMT15A,hong.19334861@student.iuh.edu.vn,663777741,266
19334871,Nguyễn Thị Hồng,KHDL15A,hong.19334871@student.iuh.edu.vn,984682180,88
19334881,Nguyễn Thị Thu Hồng,HTTT15A,hong.19334881@student.iuh.edu.vn,261685338,137
19334891,Phan Thị Hồng,HTTT15B,hong.19334891@student.iuh.edu.vn,968561753,35
19334901,Cao Thị Hoa,HTTT15C,hoa.19334901@student.iuh.edu.vn,314682756,65
19334911,Cao Thị Hoa,KHMT15A,hoa.19334911@student.iuh.edu.vn,905051505,176
19334921,Đoàn Ngọc Thanh Hoa,HTTT15B,hoa.19334921@student.iuh.edu.vn,862848662,292
19334931,Nguyễn Thị Ngọc Hoa,KTPM15A,hoa.19334931@student.iuh.edu.vn,361951963,202
19334941,Bùi Thị Minh Hoài,KTPM15A,hoai.19334941@student.iuh.edu.vn,988953664,77
19334951,Hoàng Thị Hoàn,HTTT15B,hoan.19334951@student.iuh.edu.vn,901640043,193
19334961,Đinh Ngọc Hoàng,HTTT15B,hoang.19334961@student.iuh.edu.vn,325448309,96
19334971,Hồ Thị Hoàng,KHMT15B,hoang.19334971@student.iuh.edu.vn,854806599,245
19334981,Nguyễn Viết Hoàng,KHDL15B,hoang.19334981@student.iuh.edu.vn,810578473,54
19334991,Phan Thị Kim Hoàng,KTPM15A,hoang.19334991@student.iuh.edu.vn,665946928,50
19335001,Lê Vũ Khánh Hòa,HTTT15C,hoa.19335001@student.iuh.edu.vn,583066302,36
19335011,Luyện Việt Hòa,HTTT15C,hoa.19335011@student.iuh.edu.vn,375100514,172
19335021,Nguyễn Thị Hiền Hòa,KHMT15A,hoa.19335021@student.iuh.edu.vn,445593437,140
19335031,Đinh Minh Hóa,KHDL15A,hoa.19335031@student.iuh.edu.vn,587794008,287
19335041,Nguyễn Ngọc Hưng,KHMT15A,hung.19335041@student.iuh.edu.vn,442152765,20
19335051,Nguyễn Văn Hưng,KHMT15B,hung.19335051@student.iuh.edu.vn,856702065,2
19335061,Nguyễn Văn Hưng,HTTT15B,hung.19335061@student.iuh.edu.vn,553615881,37
19335071,Bùi Thị Hương,HTTT15C,huong.19335071@student.iuh.edu.vn,955424212,158
19335081,Đặng Phạm Lan Hương,KTPM15B,huong.19335081@student.iuh.edu.vn,394504750,197
19335091,Đỗ Thị Hương,HTTT15A,huong.19335091@student.iuh.edu.vn,565079536,238
19335101,Mai Thị Hương,HTTT15B,huong.19335101@student.iuh.edu.vn,321339834,10
19335111,Nguyễn Lan Hương,KHMT15A,huong.19335111@student.iuh.edu.vn,381704128,298
19335121,Nguyễn Thị Hương,KHMT15B,huong.19335121@student.iuh.edu.vn,381775447,285
19335131,Nguyễn Thị Thúy Hương,KHMT15A,huong.19335131@student.iuh.edu.vn,469398960,7
19335141,Phạm Thị Mai Hương,HTTT15B,huong.19335141@student.iuh.edu.vn,599408043,138
19335151,Phan Thị Hương,HTTT15B,huong.19335151@student.iuh.edu.vn,936475917,173
19335161,Đào Thị Hường,KTPM15B,huong.19335161@student.iuh.edu.vn,866389167,62
19335171,Nguyễn Hữu Thu Hường,KHDL15A,huong.19335171@student.iuh.edu.vn,500572647,100
19335181,Nguyễn Thị Hường,HTTT15B,huong.19335181@student.iuh.edu.vn,783629587,240
19335191,Trương Thị Hường,KHMT15B,huong.19335191@student.iuh.edu.vn,518213174,242
19335201,Lê Thị Huệ,HTTT15C,hue.19335201@student.iuh.edu.vn,496018608,49
19335211,Nguyễn Thị Huệ,HTTT15B,hue.19335211@student.iuh.edu.vn,987524769,204
19335221,Nguyễn Thị Bích Huệ,HTTT15C,hue.19335221@student.iuh.edu.vn,690897699,203
19335231,Trần Thị Huệ,HTTT15C,hue.19335231@student.iuh.edu.vn,873028944,202
19335241,Huỳnh Trương Huy,KHDL15A,huy.19335241@student.iuh.edu.vn,968262999,134
19335251,Nguyễn Dương Ánh Huy,KHMT15B,huy.19335251@student.iuh.edu.vn,510553271,108
19335261,Võ Quang Đức Huy,KTPM15A,huy.19335261@student.iuh.edu.vn,416624061,150
19335271,Đoàn Thị Thu Huyền,KTPM15B,huyen.19335271@student.iuh.edu.vn,280459818,127
19335281,Nguyễn Thanh Huyền,HTTT15C,huyen.19335281@student.iuh.edu.vn,545090992,140
19335291,Nguyễn Thị Huyền,KHDL15A,huyen.19335291@student.iuh.edu.vn,316983695,13
19335301,Nguyễn Thị Mỹ Huyền,KHDL15A,huyen.19335301@student.iuh.edu.vn,709456929,97
19335311,Nguyễn Thị Diễm Huỳnh,HTTT15B,huynh.19335311@student.iuh.edu.vn,330111158,82
19335321,Nguyễn Thị Hồng Khánh,KHDL15B,khanh.19335321@student.iuh.edu.vn,450313670,58
19335331,Nguyễn Thị Khỏe,KHDL15B,khoe.19335331@student.iuh.edu.vn,569838724,65
19335341,Lê Thị Khuyên,KHDL15A,khuyen.19335341@student.iuh.edu.vn,518829855,291
19335351,Nguyễn Thị Kim Khuyên,HTTT15B,khuyen.19335351@student.iuh.edu.vn,242422673,80
19335361,Phan Ngọc Vành Khuyên,HTTT15B,khuyen.19335361@student.iuh.edu.vn,900091998,29
19335371,Đặng Thị Kiều,KHDL15A,kieu.19335371@student.iuh.edu.vn,686584504,183
19335381,Nguyễn Thị Oanh Kiều,KHMT15A,kieu.19335381@student.iuh.edu.vn,887757891,219
19335391,Trần Thị Ngọc Kiều,HTTT15B,kieu.19335391@student.iuh.edu.vn,976258191,279
19335401,Phan Chí Kiên,HTTT15B,kien.19335401@student.iuh.edu.vn,330950720,35
19335411,Lê Minh Kiệt,HTTT15A,kiet.19335411@student.iuh.edu.vn,565025732,43
19335421,Ngô Yên Lam,KHMT15B,lam.19335421@student.iuh.edu.vn,475858825,290
19335431,Nguyễn Thanh Lam,HTTT15A,lam.19335431@student.iuh.edu.vn,643283496,281
19335441,Lê Thị Hồng Lan,KHMT15B,lan.19335441@student.iuh.edu.vn,277296376,135
19335451,Phạm Thị Lan,HTTT15C,lan.19335451@student.iuh.edu.vn,235040399,221
19335461,Văn Thị Lang,HTTT15B,lang.19335461@student.iuh.edu.vn,428963628,241
19335471,Nguyễn Thị Ánh Lài,KTPM15B,lai.19335471@student.iuh.edu.vn,803535206,188
19335481,Nguyễn Thị Lập,KHMT15B,lap.19335481@student.iuh.edu.vn,779028658,126
19335491,Trần Thị Hoài Lê,KHDL15B,le.19335491@student.iuh.edu.vn,725955992,108
19335501,Lương Thị Lịch,KTPM15A,lich.19335501@student.iuh.edu.vn,861923683,296
19335511,Đặng Thị Liền,KTPM15B,lien.19335511@student.iuh.edu.vn,869852745,22
19335521,Nguyễn Thị Hồng Liên,HTTT15A,lien.19335521@student.iuh.edu.vn,754282631,62
19335531,Phạm Thị Ngọc Liên,KHMT15B,lien.19335531@student.iuh.edu.vn,699405310,81
19335541,Trần Hồng Liên,HTTT15A,lien.19335541@student.iuh.edu.vn,227579143,231
19335551,Trần Thị Hồng Liên,KTPM15A,lien.19335551@student.iuh.edu.vn,796093164,229
19335561,Võ Thị Kim Liên,KTPM15A,lien.19335561@student.iuh.edu.vn,921137663,72
19335571,Hoàng Thị Thu Liểu,KTPM15A,lieu.19335571@student.iuh.edu.vn,738929223,276
19335581,Dương Thị Hoàng Linh,HTTT15C,linh.19335581@student.iuh.edu.vn,831966977,27
19335591,Đỗ Thị Mỹ Linh,HTTT15B,linh.19335591@student.iuh.edu.vn,576993047,28
19335601,Lê Hoàng Khánh Linh,HTTT15B,linh.19335601@student.iuh.edu.vn,907823660,199
19335611,Ngô Lê Khánh Linh,HTTT15A,linh.19335611@student.iuh.edu.vn,627042032,79
19335621,Nguyễn Đoàn Mai Linh,KHDL15B,linh.19335621@student.iuh.edu.vn,700599648,126
19335631,Nguyễn Thị Diệu Linh,HTTT15A,linh.19335631@student.iuh.edu.vn,429683255,182
19335641,Nguyễn Thị Thùy Linh,HTTT15A,linh.19335641@student.iuh.edu.vn,920398281,270
19335651,Tống Phương Linh,HTTT15A,linh.19335651@student.iuh.edu.vn,811866053,193
19335661,Trần Thị Diệu Linh,KTPM15B,linh.19335661@student.iuh.edu.vn,734347250,59
19335671,Trương Nguyễn Thùy Linh,KHDL15A,linh.19335671@student.iuh.edu.vn,970334896,26
19335681,Võ Hà Khánh Linh,KHMT15A,linh.19335681@student.iuh.edu.vn,714225896,115
19335691,Huỳnh Thị Bích Loan,HTTT15B,loan.19335691@student.iuh.edu.vn,541536879,108
19335701,Huỳnh Thị Bích Loan,KHMT15B,loan.19335701@student.iuh.edu.vn,648719520,163
19335711,Nguyễn Thị Loan,HTTT15B,loan.19335711@student.iuh.edu.vn,475411572,188
19335721,Tô Thị Ngọc Loan,KHMT15A,loan.19335721@student.iuh.edu.vn,443437217,151
19335731,Nguyễn Bình Phương Lộc,HTTT15B,loc.19335731@student.iuh.edu.vn,721250498,174
19335741,Lê Thùy Lưu,HTTT15B,luu.19335741@student.iuh.edu.vn,883854746,105
19335751,Lê Thị Lưu Luyến,HTTT15B,luyen.19335751@student.iuh.edu.vn,606908188,70
19335761,Lê Thị Lữ,HTTT15C,lu.19335761@student.iuh.edu.vn,649457082,148
19335771,Nguyễn Thị Thảo Lựu,KTPM15A,luu.19335771@student.iuh.edu.vn,836918700,160
19335781,Lê Hoàng Ly,KTPM15A,ly.19335781@student.iuh.edu.vn,731587885,276
19335791,Nguyễn Hoàng Ly,KTPM15B,ly.19335791@student.iuh.edu.vn,329649627,91
19335801,Lê Thị Lý,KHMT15A,ly.19335801@student.iuh.edu.vn,937453515,119
19335811,Trần Thị Thiên Lý,KTPM15A,ly.19335811@student.iuh.edu.vn,709892321,46
19335821,Đặng Thị Tuyết Mai,KTPM15A,mai.19335821@student.iuh.edu.vn,598333315,48
19335831,Đặng Thị Tuyết Mai,KHMT15B,mai.19335831@student.iuh.edu.vn,750132089,37
19335841,Đoàn Thị Mai,HTTT15B,mai.19335841@student.iuh.edu.vn,742506608,13
19335851,Hồ Thị Xuân Mai,KHDL15B,mai.19335851@student.iuh.edu.vn,763857793,121
19335861,Huỳnh Ngọc Hoàng Mai,KHDL15A,mai.19335861@student.iuh.edu.vn,775111924,231
19335871,Nguyễn Thị Bích Mai,HTTT15A,mai.19335871@student.iuh.edu.vn,931576242,158
19335881,Nguyễn Thị Ngọc Mai,HTTT15A,mai.19335881@student.iuh.edu.vn,353178748,83
19335891,Nguyễn Thị Sao Mai,HTTT15A,mai.19335891@student.iuh.edu.vn,949346474,12
19335901,Nguyễn Thị Thanh Mai,HTTT15B,mai.19335901@student.iuh.edu.vn,716189591,277
19335911,Nguyễn Thị Hoài Mi,KTPM15B,mi.19335911@student.iuh.edu.vn,687815231,17
19335921,Song Kyoung Mi,HTTT15C,mi.19335921@student.iuh.edu.vn,848830207,154
19335931,Đào Gia Uyên Minh,KHMT15B,minh.19335931@student.iuh.edu.vn,944374816,11
19335941,Nguyễn Trương Thiên Minh,KHMT15A,minh.19335941@student.iuh.edu.vn,391726197,267
19335951,Dương Thị Trà My,KHMT15B,my.19335951@student.iuh.edu.vn,342736096,61
19335961,Phạm Gia My,KTPM15B,my.19335961@student.iuh.edu.vn,244132704,297
19335971,Tống Nữ Dạ My,HTTT15C,my.19335971@student.iuh.edu.vn,908493845,70
19335981,Trần Nguyễn Trà My,KHDL15B,my.19335981@student.iuh.edu.vn,990932380,145
19335991,Võ Thị Diệu My,KHMT15B,my.19335991@student.iuh.edu.vn,640470009,293
19336001,Lê Thị Mỹ,HTTT15A,my.19336001@student.iuh.edu.vn,903978282,226
19336011,Lưu Thị Thùy Mỹ,KTPM15A,my.19336011@student.iuh.edu.vn,536300457,228
19336021,Nguyễn Thị Ly Na,KTPM15A,na.19336021@student.iuh.edu.vn,752591744,272
19336031,Quách Thị Ly Na,HTTT15B,na.19336031@student.iuh.edu.vn,629914154,250
19336041,Trần Lê Phương Na,KHMT15B,na.19336041@student.iuh.edu.vn,877268154,162
